asset,period,start_date,end_date,plan,invested,ending_value,gain,return_on_invested,annualized_return_on_invested
安聯台灣智慧基金,1m,2026-04-14,2026-05-14,lump_sum,1000000.0,1215526.551266624,215526.5512666239,0.2155265512666239,9.764830002586422
安聯台灣智慧基金,1m,2026-04-14,2026-05-14,monthly,40000.0,45189.26751038654,5189.26751038654,0.1297316877596635,3.4154442366402185
安聯台灣智慧基金,3m,2026-02-22,2026-05-14,lump_sum,1000000.0,1492196.96969697,492196.96969696996,0.49219696969696997,5.078930709084463
安聯台灣智慧基金,3m,2026-02-22,2026-05-14,monthly,80000.0,106556.98499825846,26556.984998258456,0.3319623124782307,2.6422220439681765
安聯台灣智慧基金,1y,2025-05-14,2026-05-14,lump_sum,1000000.0,3308751.8898034617,2308751.8898034617,2.3087518898034616,2.3114647525113834
安聯台灣智慧基金,1y,2025-05-14,2026-05-14,monthly,260000.0,563789.5506164139,303789.55061641394,1.168421348524669,1.1695712127781643
安聯台灣智慧基金,3y,2023-05-14,2026-05-14,lump_sum,1000000.0,5015788.133435202,4015788.133435202,4.015788133435202,0.7115640066669058
安聯台灣智慧基金,3y,2023-05-14,2026-05-14,monthly,740000.0,2226106.9732725224,1486106.9732725224,2.00825266658449,0.443449968149495
安聯台灣智慧基金,5y,2021-05-16,2026-05-14,lump_sum,1000000.0,5979659.987856717,4979659.987856717,4.979659987856717,0.4306286310061149
安聯台灣智慧基金,5y,2021-05-16,2026-05-14,monthly,1220000.0,4617604.298040088,3397604.2980400883,2.784921555770564,0.305431203386461
安聯台灣智慧基金,full,2016-05-17,2026-05-14,lump_sum,1000000.0,21538545.653362434,20538545.653362434,20.538545653362434,0.3597200927239317
安聯台灣智慧基金,full,2016-05-17,2026-05-14,monthly,2420000.0,20103185.707776226,17683185.707776226,7.307101532138937,0.2360417561789434
0050 benchmark,1m,2026-04-14,2026-05-14,lump_sum,1000000.0,1191687.4053365819,191687.40533658187,0.19168740533658188,7.458173785297838
0050 benchmark,1m,2026-04-14,2026-05-14,monthly,40000.0,45060.268118169835,5060.268118169835,0.12650670295424588,3.264408242223432
0050 benchmark,3m,2026-02-23,2026-05-14,lump_sum,1000000.0,1244171.073169256,244171.0731692561,0.2441710731692561,1.711358570652037
0050 benchmark,3m,2026-02-23,2026-05-14,monthly,80000.0,96333.64097135527,16333.640971355271,0.2041705121419409,1.335560356528886
0050 benchmark,1y,2025-05-14,2026-05-14,lump_sum,1000000.0,2193839.2325105546,1193839.2325105546,1.1938392325105547,1.1950200957912993
0050 benchmark,1y,2025-05-14,2026-05-14,monthly,260000.0,425642.0176929902,165642.0176929902,0.6370846834345777,0.6376374801129308
0050 benchmark,3y,2023-05-15,2026-05-14,lump_sum,1000000.0,3542001.970128732,2542001.970128732,2.542001970128732,0.5247840208349357
0050 benchmark,3y,2023-05-15,2026-05-14,monthly,740000.0,1703362.5007146944,963362.5007146944,1.3018412171820195,0.320609609313087
0050 benchmark,5y,2021-05-14,2026-05-14,lump_sum,1000000.0,3471660.1312902938,2471660.1312902938,2.4716601312902937,0.28269157300189907
0050 benchmark,5y,2021-05-14,2026-05-14,monthly,1220000.0,3347587.499275493,2127587.499275493,1.7439241797340106,0.2237323048568629
0050 benchmark,full,2016-05-17,2026-05-14,lump_sum,1000000.0,8872545.829189233,7872545.8291892335,7.872545829189233,0.24421593388816265
0050 benchmark,full,2016-05-17,2026-05-14,monthly,2420000.0,10444391.134270012,8024391.134270012,3.315864105070253,0.15762444699275768
